Timestamp,Мојата примарна работна позиција е:,Која алатка или вебсајт ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење  е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/6/2019 14:16:11,Software developer,phpstorm,remote за странска компанија,Senior,280000,101 - 500,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,"Linkedin, Angel.co, ...",Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/6/2019 16:11:56,Chief Solutions Architect,"putty, SecureCRT, Google Chrome","во домашна компанија, remote за странска компанија",Senior,105000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата, Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,35-44,Завршени дипломски студии,Пракса во ИКТ компанија,11-15 години,
2/6/2019 16:31:29,IT Engineer,Altitude uCI,во претставништво на странска компанија во Македонија,Middle,39000,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата, Не ги остваруваат ветувањата ","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите, Се оди по фамилијарна линија",Не би ја препорачал компанијата на други,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,Недостасува - дали би се тргнале од Македонија доколку ви се укаже можност
2/6/2019 16:35:38,Мрежен администратор,"telnet, ssh",во домашна компанија,Senior,76000,501 - 1000,Linux,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,LinkedIn,Машки,45-54,Завршени дипломски студии,Пракса во ИКТ компанија,11-15 години,
2/6/2019 17:48:11,Roto/Paint Artist,Nuke,во домашна компанија,Senior,33000,11 - 100,Linux,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Можност за учење и развој, Плата и бонуси, Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 17:52:38,Sys Admin,google,"во домашна компанија, фриленс, remote за домашна компанија",Senior,55000,11 - 100,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Плата и бонуси, Стабилност на компанијата, Можност за работа од дома (remote work)","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски","Давам отказ, па тогаш барам нова работа",Да,Се информирам преку познаници,Машки,45-54,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",16-20 години,
2/6/2019 18:09:26,Sales Manager,"Outlook, CRM",remote за странска компанија,Senior,180000,101 - 500,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Стабилност на компанијата, Можност за работа од дома (remote work)","Лоша интерна организација, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Женски,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/6/2019 19:18:05,.Net developer/front-end,Visual studio,во домашна компанија,Практикант,8000,1-10,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки",Nenavremena plata,Работам со минимално вложување на труд,Да,IT.mk и IT.mk/Kariera,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/6/2019 19:38:57,Investiciski menager,"Pipedrive, pitchbook, canva, excel",во претставништво на странска компанија во Македонија,Lead,55000,1-10,Mac,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Немање доволно информации за компанијата","Можност за учење и развој, Плата и бонуси, Компаниската култура, Флексибилност во работното време, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лошо дефинирани работни обврски",Работам со минимално вложување на труд,Да,Веб страните на компаниите,Машки,25-34,Завршени постдипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/6/2019 19:55:05,Support Engineer,"SQL Server, Visual Studio",remote за странска компанија,Senior,210000,501 - 1000,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 20:09:53,Project manager,Google,во домашна компанија,Ceo,25000,Само јас,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Недостаток на тимска работа, Несоодветен менаџмент за проектите, Nefokusiranost na rabotata tuku na megju covecki karanici",Работам со минимално вложување на труд,Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/7/2019 0:32:55,Escalation Manager,Jive,remote за странска компанија,Lead,230000,1000+,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,Немам познавања од дигитален маркетинг,5-10 години,Да не е на бугарски прашалников
2/7/2019 6:32:09,Ftt,Java,во домашна компанија,Senior,60000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок","Наоѓам друга работа, па тогаш давам отказ",Не и не планирам,Други македонски портали за огласи,Женски,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/7/2019 9:58:39,Систем Инжинер,command line,во домашна компанија,Senior,30000,11 - 100,Dual-boot,Немање доволно информации за компанијата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",IT.mk и IT.mk/Kariera,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/7/2019 10:07:24,Automation QA Engineer,Robot Framework and Selenium,во претставништво на странска компанија во Македонија,Middle,43050,101 - 500,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Лоша интерна организација, Несоодветен менаџмент за проектите, Микро-менаџмент ",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,"Две прашања пред ова, стои прашање за дигитален маркетинг, а оваа форма не требаше да биде за тоа."
2/7/2019 10:51:53,Систем Инженер,Windows Server,во претставништво на странска компанија во Македонија,Middle,24000,101 - 500,Windows,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Флексибилност во работното време","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација",Одбивам проекти,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,5-10 години,
2/7/2019 10:57:21,Developer,Webstorm,во претставништво на странска компанија во Македонија,Senior,92000,11 - 100,Mac,"Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Можност за работа од дома (remote work), Флексибилност во работното време",Лошо напишана документација,Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,18-24,Средно образование,Дипломските и додипломските студии,помалку од 5,
2/7/2019 11:50:20,дигитален маркетер,"WordPress, wix, social media, Photoshop, illustrator",во домашна компанија,Junior,12000,Само јас,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Компаниската култура, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Женски,18-24,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/7/2019 12:57:18,Senior .NET Developer,Visual Studio 2017,во претставништво на странска компанија во Македонија,Senior,122000,11 - 100,Windows,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Локација на работното место, Флексибилност во работното време",Лошо напишана документација,Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/7/2019 13:21:19,Актер,Adobe CC,"во домашна компанија, фриленс, remote за странска компанија",Middle,120000,11 - 100,Windows,Немање доволно информации за компанијата,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време",Лошо напишана документација,Зборувам со менаџерот/претпоставениот,Не и не планирам,Vrabotuvanje.com.mk,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",16-20 години,
2/7/2019 15:33:25,Project Manager,Internally developed tool,во претставништво на странска компанија во Македонија,Senior,100000,101 - 500,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата","Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите, Лоши меѓучовечки односи, нетранспарентност на одлуките на главните",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,35-44,Завршени дипломски студии,Пракса во ИКТ компанија,16-20 години,
2/7/2019 16:58:44,IT Coordnator,Windows Server ,Nevladina,Middle,36000,11 - 100,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Стабилност на компанијата","Лошо дефинирани работни обврски, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,35-44,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/7/2019 18:25:37,cmm programer,quartis,во претставништво на странска компанија во Македонија,Senior,40000,101 - 500,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам","Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/7/2019 21:37:56,Developer,Visual studio,во домашна компанија,Lead,100000,11 - 100,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите",Не би ја препорачал компанијата на други,Не и не планирам,Се информирам преку познаници,Машки,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,5-10 години,
2/7/2019 22:12:55,Database developer,Sql server,во претставништво на странска компанија во Македонија,Senior,90000,101 - 500,Windows,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Женски,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/8/2019 11:40:43,комерцијалист,"outlook, MS Access, Office, Chrome",во домашна компанија,Комерција,28000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/8/2019 12:21:08,Digital Products Manager ,n/a,Во странство,Senior,0,1000+,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време",Недостаток на тимска работа,Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,35-44,Завршени постдипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",16-20 години,
2/8/2019 16:33:45,Regional IT Help Desk,Ticketing System ,во претставништво на странска компанија во Македонија,Middle,30000,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата, Колку точно е плата, и кој се конкретните работни задачи.","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Неточен краен рок, Лоша интерна организација, Несоодветен менаџмент за проектите",Ниту едно од наведените,Да,Други македонски портали за огласи,Машки,25-34,Средно образование,Пракса во ИКТ компанија,5-10 години,
2/8/2019 17:59:10,Програмер / Администратор на бази на податоци,Visual Studio,во домашна компанија,Middle,52000,101 - 500,Windows,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/8/2019 21:24:19,Sales,Outlook,во претставништво на странска компанија во Македонија,Senior,90000,1-10,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Стабилност на компанијата","Сѐ е со највисок приоритет (притисок при работа), Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,35-44,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",11-15 години,
2/8/2019 21:52:03,service desk engineer 24/7,"SCOM, SQL mng studio, AX Dynamics ",во претставништво на странска компанија во Македонија,Middle,39000,11 - 100,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Master's studies abroad, self education by tutorials and documents ",помалку од 5,
