Timestamp,Мојата примарна работна позиција е:,Која алатка или вебсајт ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење за дигитален маркетинг е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/6/2019 13:49:34,Консултант за дигитален маркетинг,Kunden ,во претставништво на странска компанија во Македонија,Junior,0,11 - 100,Linux,"Недоволно информации за работната позиција, Немање доволно информации за компанијата",Добар баланс помеѓу работата и приватниот живот,Лошо напишана документација,Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",IT.mk и IT.mk/Kariera,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/6/2019 13:53:12,Е-маркетинг специјалист,na,во домашна компанија,Senior,42000,1-10,Windows,Brainteasers или слични тестови кои не се релевантни за работната позиција,Добар баланс помеѓу работата и приватниот живот,Несоодветен менаџмент за проектите,Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Женски,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/6/2019 14:00:35,Менаџер за дигитален маркетинг,"wordpress, mailerlite, mailchimp, facebook, google analytics, google ads, instagram, linkedin, instapage, etc",во домашна компанија,Senior,50000,11 - 100,Windows,Нетранспарентност во процесот на одредување на платата,"Можност за учење и развој, Плата и бонуси, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/6/2019 14:07:40,"Друштвени медиуми - менаџирање, содржина...",facebook,во домашна компанија,Middle,20000,1-10,Windows,Brainteasers или слични тестови кои не се релевантни за работната позиција,Добар баланс помеѓу работата и приватниот живот,Несоодветен менаџмент за проектите,"Наоѓам друга работа, па тогаш давам отказ",Не и не планирам,Се информирам преку познаници,Женски,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,помалку од 5,
2/6/2019 14:12:47,SEO специјалист,"Ahrefs, Screaming Frog, Search Console, Tag Manager, Google Analytics",фриленс,Senior,120000,Само јас,Windows,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата","Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Го искажувам моето незадоволство према одговорниот, па потоа давам одказ (без разлика дали би ми повишиле плата или не)",Да,Социјални медиуми,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,Не
2/6/2019 14:26:00,Консултант за дигитален маркетинг,MailChimp,во домашна компанија,Middle,33000,11 - 100,Windows,Нетранспарентност во процесот на одредување на платата,Можност за учење и развој,Лоша интерна организација,Зборувам со менаџерот/претпоставениот,Не и не планирам,Веб страните на компаниите,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/6/2019 14:26:15,Е-маркетинг специјалист,Wordpress,во претставништво на странска компанија во Македонија,Junior,24000,11 - 100,Mac,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,18-24,Завршени постдипломски студии,Дипломските и додипломските студии,помалку од 5,
2/6/2019 14:33:31,"Друштвени медиуми - менаџирање, содржина...",facebook,во претставништво на странска компанија во Македонија,Middle,30000,1-10,Windows,Нетранспарентност во процесот на одредување на платата,"Можност за учење и развој, Плата и бонуси","Лоша интерна организација, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/6/2019 14:34:51,Менаџер за дигитален маркетинг,Business manager,во претставништво на странска компанија во Македонија,Senior,55000,101 - 500,Windows,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Компаниската култура, Стабилност на компанијата, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,25-34,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,
2/6/2019 14:37:54,SEO специјалист,"sem rush, ahrefs, g analytics, webaster, google sheets ... ","во претставништво на странска компанија во Македонија, фриленс",Lead,24000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Немање доволно информации за компанијата","Можност за учење и развој, Плата и бонуси, Стабилност на компанијата","Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,5-10 години,
2/6/2019 14:39:16,Пишување на содржина за дигитални платформи,"Google docs, Slack, Asana",фриленс,Middle,50000,11 - 100,Windows,Немање доволно информации за компанијата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите","Давам отказ, па тогаш барам нова работа",Да,Веб страните на компаниите,Женски,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",помалку од 5,
2/6/2019 14:43:48,SEO специјалист,CRM System Specialized for our company,во претставништво на странска компанија во Македонија,Senior,0,11 - 100,Windows,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Тренинзи и обуки","Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Повеќе од горенаведените опции,Женски,25-34,Завршени дипломски студии,Пракса во ИКТ компанија,5-10 години,
2/6/2019 15:00:07,Менаџер за дигитален маркетинг,"Facebook, Instagram",во домашна компанија,Middle,18000,1-10,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/6/2019 15:00:31,Менаџер за дигитален маркетинг,"FB, Instagram",во домашна компанија,Lead,31000,1-10,Windows,"Недоволно информации за работната позиција, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Локација на работното место","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,35-44,Завршени постдипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/6/2019 15:10:42,Е-маркетинг специјалист,Oracle Eloqua,remote за странска компанија,Middle,30000,11 - 100,Windows,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,25-34,Завршени постдипломски студии,Дипломските и додипломските студии,помалку од 5,
2/6/2019 15:35:22,Закуп на онлајн рекламен простор,"DCM, Facebook business manager, ads manager",во претставништво на странска компанија во Македонија,Lead,60000,11 - 100,Windows,Долг и бавен процес на интервјуирање,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Машки,35-44,Завршени дипломски студии,Kompanijata vo koja rabotam,11-15 години,
2/6/2019 15:46:26,SEO специјалист,Buffer,"во претставништво на странска компанија во Македонија, фриленс, remote за странска компанија",Senior,1800,101 - 500,Mac,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата",Недостаток на тимска работа,Зборувам со менаџерот/претпоставениот,,Се информирам преку познаници,Женски,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,
2/6/2019 15:55:09,"Друштвени медиуми - менаџирање, содржина...",фб,во домашна компанија,Middle,30000,11 - 100,Windows,Недоволно информации за работната позиција,Плата и бонуси,Лоша интерна организација,Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,35-44,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/6/2019 15:56:00,Maркетинг и комуникации ,"Hootsuite, Hubspot, Later, G-Suite",во домашна компанија,Lead,28000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција","Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време","Несоодветен менаџмент за проектите, N/A",Ниту едно од наведените,Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,Waiting for the results.
2/6/2019 15:59:37,Менаџер за дигитален маркетинг,"WordPress, Buffer, MailChimp...",во претставништво на странска компанија во Македонија,Lead,40000,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,25-34,Завршени постдипломски студии,Платени онлајн курсеви И Пракса во ИКТ компанија,помалку од 5,"Свеста за потенцијалот на дигиталниот маркетинг е се уште на едно ""beginner"" ниво дури и меѓу компаниите на  ИКТ полето. "
2/6/2019 16:05:59,Консултант за дигитален маркетинг,CRM ,во домашна компанија,Senior,25000,1-10,Windows,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Женски,18-24,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",помалку од 5,
2/6/2019 16:31:38,Менаџер за дигитален маркетинг,mnogu alatki :),"во домашна компанија, фриленс, remote за странска компанија",Lead,50000,11 - 100,Windows,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Плата и бонуси, Компаниската култура","Лоша интерна организација, Лошо дефинирани работни обврски",Ниту едно од наведените,Да,Други македонски портали за огласи,Машки,25-34,Завршени постдипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",5-10 години,..
2/6/2019 16:46:05,SEO специјалист,Google Analytics,"во домашна компанија, фриленс",Middle,40000,11 - 100,Windows,"Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Лоша интерна организација, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Социјални медиуми,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube,..)",5-10 години,Таман си е се :)
