Timestamp,Се декларирам како:,Која алатка ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Првиот чекор при дизајн (prototyping/wireframing) ми започнува со:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење за дизајн е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/6/2019 12:21:39,Веб дизајнер,Photoshop,во домашна компанија,Senior,47500,11 - 100,Windows,Лист и хартија,Недоволно информации за работната позиција,Добар баланс помеѓу работата и приватниот живот,Лоша интерна организација,Зборувам со менаџерот/претпоставениот,Да,IT.mk и IT.mk/Kariera,Машки,35-44,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",повеќе од 20 години,
2/6/2019 12:34:02,Графички дизајнер,Illustrator,во домашна компанија,Senior,35000,11 - 100,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,Плата и бонуси,Лоша интерна организација,"Давам отказ, па тогаш барам нова работа",Да,Се информирам преку познаници,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/6/2019 12:49:49,UX дизајнер,Figma,"во домашна компанија, remote за домашна компанија",Lead,49200,1-10,Windows,Figma,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 12:54:04,Графички дизајнер,Illustrator,Во странство,Junior,50000,11 - 100,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси","Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Не би ја препорачал компанијата на други,Не и не планирам,IT.mk и IT.mk/Kariera,Женски,35-44,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 13:01:54,Графички дизајнер,Illustrator,"во домашна компанија, фриленс",Middle,24000,1-10,Windows,Illustrator,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Се информирам преку познаници,Машки,25-34,Уште студирам дипломски,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,:*
2/6/2019 13:08:55,UX дизајнер,Adobe XD,фриленс,Junior,3500,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Женски,18-24,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/6/2019 13:13:24,Графички дизајнер,Photoshop,во домашна компанија,Senior,25000,1-10,Windows,Illustrator,Нетранспарентност во процесот на одредување на платата,Можност за работа од дома (remote work),Сѐ е со највисок приоритет (притисок при работа),Зборувам со менаџерот/претпоставениот,Не и не планирам,Се информирам преку познаници,Машки,45-54,Средно образование,Пракса во компанија или печатница,повеќе од 20 години,
2/6/2019 13:18:12,We,Maya,во домашна компанија,Senior,30000,1-10,Windows,Таблет за цртање,Нетранспарентност во процесот на одредување на платата,Можност за учење и развој,Несоодветен менаџмент за проектите,"Давам отказ, па тогаш барам нова работа",Да,Се информирам преку познаници,Машки,35-44,Завршени дипломски студии,Дипломските и додипломските студии,11-15 години,
2/6/2019 13:23:21,3D Hard Surface Artist,3ds Max,"фриленс, remote за странска компанија",Junior,50000,1-10,Windows,НАУЧЕТЕ ДА НЕ БИДАТ СИТЕ ПРАШАЊА ПОТРЕБНИ,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Можност за работа од дома (remote work), Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата",Недостаток на тимска работа,Зборувам со менаџерот/претпоставениот,Не и не планирам,Директен пристап до компании преку email или discord,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,Потребни повеќе прашања во врска со обука (Зашто не преку локални циентри) и причини за работа како фриленс или во странство
2/6/2019 13:28:56,Графички дизајнер,Photoshop,"фриленс, Државно",Junior,15,11 - 100,Windows,Photoshop,Нетранспарентност во процесот на одредување на платата,"Плата и бонуси, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,Други македонски портали за огласи,Машки,25-34,Завршени постдипломски студии,Дипломските и додипломските студии,5-10 години,
2/6/2019 13:45:00,Графички дизајнер,Photoshop,во домашна компанија,Senior,24000,1-10,Windows,Photoshop,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Можност за учење и развој, Плата и бонуси, Компаниската култура, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 13:47:13,Графички дизајнер,Illustrator,во домашна компанија,Junior,21000,11 - 100,Windows,Illustrator,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Женски,18-24,Уште студирам дипломски,"Платени онлајн курсеви (Udemy, Code Academy...)",помалку од 5,
2/6/2019 14:06:08,Графички дизајнер,Illustrator,во домашна компанија,Senior,25000,1-10,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски","Наоѓам друга работа, па тогаш давам отказ",Да,Други македонски портали за огласи,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 14:31:36,UX дизајнер,3ds Max,"во домашна компанија, remote за странска компанија",Middle,30000,1-10,Windows,Photoshop,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Лоша интерна организација","Наоѓам друга работа, па тогаш давам отказ",Да,IT.mk и IT.mk/Kariera,Машки,18-24,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/6/2019 14:32:20,Графички дизајнер,Illustrator,"фриленс, remote за странска компанија",Senior,50000,1-10,Windows,Illustrator,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Флексибилност во работното време","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Несоодветен менаџмент за проектите",Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Машки,35-44,Завршени дипломски студии,"Платени онлајн курсеви (Udemy, Code Academy...)",11-15 години,
2/6/2019 14:33:43,Графички дизајнер,Illustrator,remote за странска компанија,Middle,12000,1-10,Windows,Illustrator,Нетранспарентност во процесот на одредување на платата,Можност за работа од дома (remote work),Лошо напишана документација,"Давам отказ, па тогаш барам нова работа","Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,45-54,Завршени дипломски студии,Пракса во компанија или печатница,повеќе од 20 години,
2/6/2019 15:05:19,Графички дизајнер,Photoshop,во домашна компанија,Senior,30000,1-10,Windows,Photoshop,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/6/2019 15:31:29,Веб дизајнер,Adobe XD,фриленс,Junior,30000,Само јас,Windows,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање","Можност за учење и развој, Флексибилност во работното време, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лошо дефинирани работни обврски, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,18-24,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/6/2019 15:34:56,Графички дизајнер,InDesign,фриленс,Senior,30000,Само јас,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Флексибилност во работното време",Сѐ е со највисок приоритет (притисок при работа),Зборувам со менаџерот/претпоставениот,Не и не планирам,Други македонски портали за огласи,Машки,35-44,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/6/2019 15:40:10,UX дизајнер,Adobe XD,"во претставништво на странска компанија во Македонија, фриленс",Middle,55000,11 - 100,Windows,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/6/2019 15:44:36,Графички дизајнер,Illustrator,во претставништво на странска компанија во Македонија,Senior,60000,11 - 100,Mac,Лист и хартија,Недоволно информации за работната позиција,"Можност за работа од дома (remote work), Флексибилност во работното време","Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,35-44,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",11-15 години,
2/6/2019 15:50:01,Графички дизајнер,Illustrator,Во странство,Middle,50000,Само јас,Linux,Лист и хартија,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Веб страните на компаниите,Женски,45-54,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",16-20 години,
2/6/2019 16:00:31,Motion Graphics дизајнер,3ds Max,во домашна компанија,Lead,45000,101 - 500,Linux,Silhouette FX,Недоволно информации за работната позиција,Плата и бонуси,Лоша интерна организација,Зборувам со менаџерот/претпоставениот,Не и не планирам,Се информирам преку познаници,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 16:30:32,Motion Graphics дизајнер,modo,фриленс,Senior,250000,Само јас,Dual-boot,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Можност за работа од дома (remote work)","Сѐ е со највисок приоритет (притисок при работа), Недостаток на тимска работа",Не би ја препорачал компанијата на други,Не и не планирам,Веб страните на компаниите,Машки,35-44,Завршени постдипломски студии,Дипломските и додипломските студии,11-15 години,
2/6/2019 16:32:07,Арт или креативен директор,Illustrator,во домашна компанија,Senior,40000,Само јас,Windows,Illustrator,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Плата и бонуси, Стабилност на компанијата","Лоша интерна организација, Недостаток на тимска работа",Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,45-54,Средно образование,Пракса во компанија или печатница,повеќе од 20 години,
2/6/2019 16:35:19,Графички дизајнер,Illustrator,фриленс,Senior,1,Само јас,Windows,Лист и хартија,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Не би ја препорачал компанијата на други,Да,Се информирам преку познаници,Машки,18-24,Доктор на науки,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 16:57:03,UX дизајнер,Adobe XD,во претставништво на странска компанија во Македонија,Middle,26000,11 - 100,Windows,Adobe XD,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам","Сѐ е со највисок приоритет (притисок при работа), Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/6/2019 16:59:31,Продукт дизајнер,autocad,во домашна компанија,Senior,31000,11 - 100,Windows,autocad,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,35-44,Завршени дипломски студии,Дипломските и додипломските студии,16-20 години,
